wind_farm,fac_id,deliv
0,"(1, 1)",0.0
0,"(1, 2)",0.0
0,"(1, 3)",0.0
0,"(2, 1)",0.0
0,"(2, 2)",0.0
0,"(2, 3)",0.0
0,"(3, 1)",0.0
0,"(3, 2)",0.0
0,"(3, 3)",0.0
0,"(4, 1)",0.0
0,"(4, 2)",0.0
0,"(4, 3)",0.0
0,"(5, 1)",0.0
0,"(5, 2)",1.0
0,"(5, 3)",0.0
0,"(6, 1)",0.0
0,"(6, 2)",0.0
0,"(6, 3)",0.0
1,"(1, 1)",0.0
1,"(1, 2)",0.0
1,"(1, 3)",0.0
1,"(2, 1)",0.0
1,"(2, 2)",0.0
1,"(2, 3)",0.0
1,"(3, 1)",0.0
1,"(3, 2)",0.0
1,"(3, 3)",0.0
1,"(4, 1)",0.0
1,"(4, 2)",0.0
1,"(4, 3)",0.0
1,"(5, 1)",0.0
1,"(5, 2)",0.0
1,"(5, 3)",0.0
1,"(6, 1)",0.0
1,"(6, 2)",1.0
1,"(6, 3)",0.0
2,"(1, 1)",0.0
2,"(1, 2)",0.0
2,"(1, 3)",0.0
2,"(2, 1)",0.0
2,"(2, 2)",0.0
2,"(2, 3)",0.0
2,"(3, 1)",0.0
2,"(3, 2)",0.0
2,"(3, 3)",0.0
2,"(4, 1)",0.0
2,"(4, 2)",0.0
2,"(4, 3)",0.0
2,"(5, 1)",0.0
2,"(5, 2)",1.0
2,"(5, 3)",0.0
2,"(6, 1)",0.0
2,"(6, 2)",0.0
2,"(6, 3)",0.0
3,"(1, 1)",0.0
3,"(1, 2)",0.0
3,"(1, 3)",0.0
3,"(2, 1)",0.0
3,"(2, 2)",0.0
3,"(2, 3)",0.0
3,"(3, 1)",0.0
3,"(3, 2)",0.0
3,"(3, 3)",0.0
3,"(4, 1)",0.0
3,"(4, 2)",0.0
3,"(4, 3)",0.0
3,"(5, 1)",0.0
3,"(5, 2)",0.0
3,"(5, 3)",0.0
3,"(6, 1)",0.0
3,"(6, 2)",1.0
3,"(6, 3)",0.0
4,"(1, 1)",0.0
4,"(1, 2)",0.0
4,"(1, 3)",0.0
4,"(2, 1)",0.0
4,"(2, 2)",0.0
4,"(2, 3)",0.0
4,"(3, 1)",0.0
4,"(3, 2)",0.0
4,"(3, 3)",0.0
4,"(4, 1)",0.0
4,"(4, 2)",0.0
4,"(4, 3)",0.0
4,"(5, 1)",0.0
4,"(5, 2)",0.0
4,"(5, 3)",0.0
4,"(6, 1)",0.0
4,"(6, 2)",1.0
4,"(6, 3)",0.0
5,"(1, 1)",0.0
5,"(1, 2)",0.0
5,"(1, 3)",0.0
5,"(2, 1)",0.0
5,"(2, 2)",0.0
5,"(2, 3)",0.0
5,"(3, 1)",0.0
5,"(3, 2)",0.0
5,"(3, 3)",0.0
5,"(4, 1)",0.0
5,"(4, 2)",0.0
5,"(4, 3)",0.0
5,"(5, 1)",0.0
5,"(5, 2)",1.0
5,"(5, 3)",0.0
5,"(6, 1)",0.0
5,"(6, 2)",0.0
5,"(6, 3)",0.0
6,"(1, 1)",0.0
6,"(1, 2)",0.0
6,"(1, 3)",0.0
6,"(2, 1)",0.0
6,"(2, 2)",0.0
6,"(2, 3)",0.0
6,"(3, 1)",0.0
6,"(3, 2)",0.0
6,"(3, 3)",0.0
6,"(4, 1)",0.0
6,"(4, 2)",0.0
6,"(4, 3)",0.0
6,"(5, 1)",0.0
6,"(5, 2)",1.0
6,"(5, 3)",0.0
6,"(6, 1)",0.0
6,"(6, 2)",0.0
6,"(6, 3)",0.0
7,"(1, 1)",0.0
7,"(1, 2)",0.0
7,"(1, 3)",0.0
7,"(2, 1)",0.0
7,"(2, 2)",0.0
7,"(2, 3)",0.0
7,"(3, 1)",0.0
7,"(3, 2)",0.0
7,"(3, 3)",0.0
7,"(4, 1)",0.0
7,"(4, 2)",0.0
7,"(4, 3)",0.0
7,"(5, 1)",0.0
7,"(5, 2)",1.0
7,"(5, 3)",0.0
7,"(6, 1)",0.0
7,"(6, 2)",0.0
7,"(6, 3)",0.0
8,"(1, 1)",0.0
8,"(1, 2)",0.0
8,"(1, 3)",0.0
8,"(2, 1)",0.0
8,"(2, 2)",0.0
8,"(2, 3)",0.0
8,"(3, 1)",0.0
8,"(3, 2)",0.0
8,"(3, 3)",0.0
8,"(4, 1)",0.0
8,"(4, 2)",0.0
8,"(4, 3)",0.0
8,"(5, 1)",0.0
8,"(5, 2)",1.0
8,"(5, 3)",0.0
8,"(6, 1)",0.0
8,"(6, 2)",0.0
8,"(6, 3)",0.0
9,"(1, 1)",0.0
9,"(1, 2)",0.0
9,"(1, 3)",0.0
9,"(2, 1)",0.0
9,"(2, 2)",0.0
9,"(2, 3)",0.0
9,"(3, 1)",0.0
9,"(3, 2)",0.0
9,"(3, 3)",0.0
9,"(4, 1)",0.0
9,"(4, 2)",0.0
9,"(4, 3)",0.0
9,"(5, 1)",0.0
9,"(5, 2)",0.0
9,"(5, 3)",0.0
9,"(6, 1)",0.0
9,"(6, 2)",1.0
9,"(6, 3)",0.0
10,"(1, 1)",0.0
10,"(1, 2)",0.0
10,"(1, 3)",0.0
10,"(2, 1)",0.0
10,"(2, 2)",0.0
10,"(2, 3)",0.0
10,"(3, 1)",0.0
10,"(3, 2)",0.0
10,"(3, 3)",0.0
10,"(4, 1)",0.0
10,"(4, 2)",0.0
10,"(4, 3)",0.0
10,"(5, 1)",0.0
10,"(5, 2)",1.0
10,"(5, 3)",0.0
10,"(6, 1)",0.0
10,"(6, 2)",0.0
10,"(6, 3)",0.0
11,"(1, 1)",0.0
11,"(1, 2)",0.0
11,"(1, 3)",0.0
11,"(2, 1)",0.0
11,"(2, 2)",0.0
11,"(2, 3)",0.0
11,"(3, 1)",0.0
11,"(3, 2)",0.0
11,"(3, 3)",0.0
11,"(4, 1)",0.0
11,"(4, 2)",0.0
11,"(4, 3)",0.0
11,"(5, 1)",0.0
11,"(5, 2)",1.0
11,"(5, 3)",0.0
11,"(6, 1)",0.0
11,"(6, 2)",0.0
11,"(6, 3)",0.0
12,"(1, 1)",0.0
12,"(1, 2)",0.0
12,"(1, 3)",0.0
12,"(2, 1)",0.0
12,"(2, 2)",0.0
12,"(2, 3)",0.0
12,"(3, 1)",0.0
12,"(3, 2)",0.0
12,"(3, 3)",0.0
12,"(4, 1)",0.0
12,"(4, 2)",0.0
12,"(4, 3)",0.0
12,"(5, 1)",0.0
12,"(5, 2)",1.0
12,"(5, 3)",0.0
12,"(6, 1)",0.0
12,"(6, 2)",0.0
12,"(6, 3)",0.0
13,"(1, 1)",0.0
13,"(1, 2)",0.0
13,"(1, 3)",0.0
13,"(2, 1)",0.0
13,"(2, 2)",0.0
13,"(2, 3)",0.0
13,"(3, 1)",0.0
13,"(3, 2)",0.0
13,"(3, 3)",0.0
13,"(4, 1)",0.0
13,"(4, 2)",0.0
13,"(4, 3)",0.0
13,"(5, 1)",0.0
13,"(5, 2)",0.0
13,"(5, 3)",0.0
13,"(6, 1)",0.0
13,"(6, 2)",1.0
13,"(6, 3)",0.0
14,"(1, 1)",0.0
14,"(1, 2)",0.0
14,"(1, 3)",0.0
14,"(2, 1)",0.0
14,"(2, 2)",0.0
14,"(2, 3)",0.0
14,"(3, 1)",0.0
14,"(3, 2)",0.0
14,"(3, 3)",0.0
14,"(4, 1)",0.0
14,"(4, 2)",0.0
14,"(4, 3)",0.0
14,"(5, 1)",0.0
14,"(5, 2)",1.0
14,"(5, 3)",0.0
14,"(6, 1)",0.0
14,"(6, 2)",0.0
14,"(6, 3)",0.0
15,"(1, 1)",0.0
15,"(1, 2)",0.0
15,"(1, 3)",0.0
15,"(2, 1)",0.0
15,"(2, 2)",0.0
