fac_id,fac_count,fac_type,fac_build,fac_x,fac_y
"(1, 1)",1,1,1.0,-81.97292699999917,45.84500000000118
"(1, 2)",1,2,1.0,-76.4445999999998,44.173200000000726
"(1, 3)",1,3,1.0,-121.27570999999745,55.26233899999926
"(2, 1)",2,1,1.0,-67.41100000000003,48.39100000000125
"(2, 2)",2,2,1.0,-65.45275000000001,49.18978270000018
"(2, 3)",2,3,1.0,-128.03654999999947,50.75955280000004
"(3, 1)",3,1,1.0,-80.30799999999974,43.9640000000013
"(3, 2)",3,2,0.0,-88.78899999999899,48.76900000000009
"(3, 3)",3,3,1.0,-80.04399999999978,42.82800000000034
"(4, 1)",4,1,1.0,-82.11996439999842,42.36137600000127
"(4, 2)",4,2,1.0,-98.68501799999848,49.361841100000085
"(4, 3)",4,3,1.0,-60.99753699999991,46.15631600000096
"(5, 1)",5,1,1.0,-71.06199999999916,46.66600000000057
"(5, 2)",5,2,1.0,-113.66770399999925,49.54504730000033
"(5, 3)",5,3,1.0,-81.63599999999956,43.93300000000067
"(6, 1)",6,1,1.0,-64.33750799999959,45.612814100001344
"(6, 2)",6,2,1.0,-112.0801699999989,50.1346769000002
"(6, 3)",6,3,1.0,-84.4919999999995,46.61200000000064
