wind_farm,fac_id,deliv
152,"(1, 1)",0.0
152,"(1, 2)",0.0
152,"(1, 3)",0.0
152,"(2, 1)",0.0
152,"(2, 2)",0.0
152,"(2, 3)",1.0
152,"(3, 1)",0.0
152,"(3, 2)",0.0
152,"(3, 3)",0.0
152,"(4, 1)",0.0
152,"(4, 2)",0.0
152,"(4, 3)",0.0
153,"(1, 1)",0.0
153,"(1, 2)",0.0
153,"(1, 3)",0.0
153,"(2, 1)",0.0
153,"(2, 2)",0.0
153,"(2, 3)",1.0
153,"(3, 1)",0.0
153,"(3, 2)",0.0
153,"(3, 3)",0.0
153,"(4, 1)",0.0
153,"(4, 2)",0.0
153,"(4, 3)",0.0
154,"(1, 1)",0.0
154,"(1, 2)",0.0
154,"(1, 3)",0.0
154,"(2, 1)",0.0
154,"(2, 2)",0.0
154,"(2, 3)",0.0
154,"(3, 1)",0.0
154,"(3, 2)",0.0
154,"(3, 3)",0.0
154,"(4, 1)",0.0
154,"(4, 2)",1.0
154,"(4, 3)",0.0
155,"(1, 1)",0.0
155,"(1, 2)",0.0
155,"(1, 3)",0.0
155,"(2, 1)",0.0
155,"(2, 2)",1.0
155,"(2, 3)",0.0
155,"(3, 1)",0.0
155,"(3, 2)",0.0
155,"(3, 3)",0.0
155,"(4, 1)",0.0
155,"(4, 2)",0.0
155,"(4, 3)",0.0
156,"(1, 1)",0.0
156,"(1, 2)",0.0
156,"(1, 3)",0.0
156,"(2, 1)",0.0
156,"(2, 2)",0.0
156,"(2, 3)",0.0
156,"(3, 1)",0.0
156,"(3, 2)",0.0
156,"(3, 3)",0.0
156,"(4, 1)",0.0
156,"(4, 2)",1.0
156,"(4, 3)",0.0
157,"(1, 1)",0.0
157,"(1, 2)",0.0
157,"(1, 3)",0.0
157,"(2, 1)",0.0
157,"(2, 2)",0.0
157,"(2, 3)",0.0
157,"(3, 1)",0.0
157,"(3, 2)",0.0
157,"(3, 3)",0.0
157,"(4, 1)",0.0
157,"(4, 2)",0.0
157,"(4, 3)",1.0
158,"(1, 1)",0.0
158,"(1, 2)",0.0
158,"(1, 3)",0.0
158,"(2, 1)",0.0
158,"(2, 2)",0.0
158,"(2, 3)",0.0
158,"(3, 1)",0.0
158,"(3, 2)",0.0
158,"(3, 3)",0.0
158,"(4, 1)",0.0
158,"(4, 2)",0.0
158,"(4, 3)",1.0
159,"(1, 1)",0.0
159,"(1, 2)",0.0
159,"(1, 3)",0.0
159,"(2, 1)",0.0
159,"(2, 2)",0.0
159,"(2, 3)",1.0
159,"(3, 1)",0.0
159,"(3, 2)",0.0
159,"(3, 3)",0.0
159,"(4, 1)",0.0
159,"(4, 2)",0.0
159,"(4, 3)",0.0
160,"(1, 1)",0.0
160,"(1, 2)",0.0
160,"(1, 3)",0.0
160,"(2, 1)",0.0
160,"(2, 2)",0.0
160,"(2, 3)",1.0
160,"(3, 1)",0.0
160,"(3, 2)",0.0
160,"(3, 3)",0.0
160,"(4, 1)",0.0
160,"(4, 2)",0.0
160,"(4, 3)",0.0
161,"(1, 1)",0.0
161,"(1, 2)",1.0
161,"(1, 3)",0.0
161,"(2, 1)",0.0
161,"(2, 2)",0.0
161,"(2, 3)",0.0
161,"(3, 1)",0.0
161,"(3, 2)",0.0
161,"(3, 3)",0.0
161,"(4, 1)",0.0
161,"(4, 2)",0.0
161,"(4, 3)",0.0
162,"(1, 1)",0.0
162,"(1, 2)",0.0
162,"(1, 3)",0.0
162,"(2, 1)",0.0
162,"(2, 2)",1.0
162,"(2, 3)",0.0
162,"(3, 1)",0.0
162,"(3, 2)",0.0
162,"(3, 3)",0.0
162,"(4, 1)",0.0
162,"(4, 2)",0.0
162,"(4, 3)",0.0
163,"(1, 1)",0.0
163,"(1, 2)",0.0
163,"(1, 3)",0.0
163,"(2, 1)",0.0
163,"(2, 2)",0.0
163,"(2, 3)",1.0
163,"(3, 1)",0.0
163,"(3, 2)",0.0
163,"(3, 3)",0.0
163,"(4, 1)",0.0
163,"(4, 2)",0.0
163,"(4, 3)",0.0
164,"(1, 1)",0.0
164,"(1, 2)",0.0
164,"(1, 3)",0.0
164,"(2, 1)",0.0
164,"(2, 2)",0.0
164,"(2, 3)",0.0
164,"(3, 1)",0.0
164,"(3, 2)",0.0
164,"(3, 3)",1.0
164,"(4, 1)",0.0
164,"(4, 2)",0.0
164,"(4, 3)",0.0
165,"(1, 1)",0.0
165,"(1, 2)",0.0
165,"(1, 3)",0.0
165,"(2, 1)",0.0
165,"(2, 2)",0.0
165,"(2, 3)",0.0
165,"(3, 1)",0.0
165,"(3, 2)",0.0
165,"(3, 3)",0.0
165,"(4, 1)",0.0
165,"(4, 2)",0.0
165,"(4, 3)",1.0
166,"(1, 1)",0.0
166,"(1, 2)",0.0
166,"(1, 3)",0.0
166,"(2, 1)",0.0
166,"(2, 2)",0.0
166,"(2, 3)",0.0
166,"(3, 1)",0.0
166,"(3, 2)",0.0
166,"(3, 3)",0.0
166,"(4, 1)",0.0
166,"(4, 2)",0.0
166,"(4, 3)",1.0
167,"(1, 1)",0.0
167,"(1, 2)",0.0
167,"(1, 3)",0.0
167,"(2, 1)",0.0
167,"(2, 2)",0.0
167,"(2, 3)",0.0
167,"(3, 1)",0.0
167,"(3, 2)",0.0
167,"(3, 3)",0.0
167,"(4, 1)",0.0
167,"(4, 2)",1.0
167,"(4, 3)",0.0
168,"(1, 1)",0.0
168,"(1, 2)",0.0
168,"(1, 3)",0.0
168,"(2, 1)",0.0
168,"(2, 2)",0.0
168,"(2, 3)",0.0
168,"(3, 1)",0.0
168,"(3, 2)",0.0
168,"(3, 3)",0.0
168,"(4, 1)",0.0
168,"(4, 2)",1.0
168,"(4, 3)",0.0
169,"(1, 1)",0.0
169,"(1, 2)",0.0
169,"(1, 3)",0.0
169,"(2, 1)",0.0
169,"(2, 2)",1.0
169,"(2, 3)",0.0
169,"(3, 1)",0.0
169,"(3, 2)",0.0
169,"(3, 3)",0.0
169,"(4, 1)",0.0
169,"(4, 2)",0.0
169,"(4, 3)",0.0
170,"(1, 1)",0.0
170,"(1, 2)",0.0
170,"(1, 3)",0.0
170,"(2, 1)",0.0
170,"(2, 2)",0.0
170,"(2, 3)",0.0
170,"(3, 1)",0.0
170,"(3, 2)",0.0
170,"(3, 3)",1.0
170,"(4, 1)",0.0
170,"(4, 2)",0.0
170,"(4, 3)",0.0
171,"(1, 1)",0.0
171,"(1, 2)",0.0
171,"(1, 3)",0.0
171,"(2, 1)",0.0
171,"(2, 2)",0.0
171,"(2, 3)",0.0
171,"(3, 1)",0.0
171,"(3, 2)",0.0
171,"(3, 3)",0.0
171,"(4, 1)",0.0
171,"(4, 2)",1.0
171,"(4, 3)",0.0
172,"(1, 1)",0.0
172,"(1, 2)",0.0
172,"(1, 3)",0.0
172,"(2, 1)",0.0
172,"(2, 2)",0.0
172,"(2, 3)",0.0
172,"(3, 1)",0.0
172,"(3, 2)",0.0
172,"(3, 3)",0.0
172,"(4, 1)",0.0
172,"(4, 2)",1.0
172,"(4, 3)",0.0
173,"(1, 1)",0.0
173,"(1, 2)",0.0
173,"(1, 3)",0.0
173,"(2, 1)",0.0
173,"(2, 2)",0.0
173,"(2, 3)",0.0
173,"(3, 1)",0.0
173,"(3, 2)",0.0
173,"(3, 3)",1.0
173,"(4, 1)",0.0
173,"(4, 2)",0.0
173,"(4, 3)",0.0
174,"(1, 1)",0.0
174,"(1, 2)",0.0
174,"(1, 3)",0.0
174,"(2, 1)",0.0
174,"(2, 2)",0.0
174,"(2, 3)",0.0
174,"(3, 1)",0.0
174,"(3, 2)",0.0
174,"(3, 3)",0.0
174,"(4, 1)",0.0
174,"(4, 2)",1.0
174,"(4, 3)",0.0
175,"(1, 1)",0.0
175,"(1, 2)",0.0
175,"(1, 3)",0.0
175,"(2, 1)",0.0
175,"(2, 2)",0.0
175,"(2, 3)",0.0
175,"(3, 1)",0.0
175,"(3, 2)",0.0
175,"(3, 3)",0.0
175,"(4, 1)",0.0
175,"(4, 2)",0.0
175,"(4, 3)",1.0
176,"(1, 1)",0.0
176,"(1, 2)",0.0
176,"(1, 3)",0.0
176,"(2, 1)",0.0
176,"(2, 2)",0.0
176,"(2, 3)",0.0
176,"(3, 1)",0.0
176,"(3, 2)",0.0
176,"(3, 3)",1.0
176,"(4, 1)",0.0
176,"(4, 2)",0.0
176,"(4, 3)",0.0
177,"(1, 1)",0.0
177,"(1, 2)",0.0
177,"(1, 3)",0.0
177,"(2, 1)",0.0
177,"(2, 2)",0.0
177,"(2, 3)",1.0
177,"(3, 1)",0.0
177,"(3, 2)",0.0
177,"(3, 3)",0.0
177,"(4, 1)",0.0
177,"(4, 2)",0.0
177,"(4, 3)",0.0
178,"(1, 1)",0.0
178,"(1, 2)",0.0
178,"(1, 3)",0.0
178,"(2, 1)",0.0
178,"(2, 2)",0.0
178,"(2, 3)",0.0
178,"(3, 1)",0.0
178,"(3, 2)",0.0
178,"(3, 3)",0.0
178,"(4, 1)",0.0
178,"(4, 2)",1.0
178,"(4, 3)",0.0
179,"(1, 1)",0.0
179,"(1, 2)",0.0
179,"(1, 3)",0.0
179,"(2, 1)",0.0
179,"(2, 2)",0.0
179,"(2, 3)",0.0
179,"(3, 1)",0.0
179,"(3, 2)",0.0
179,"(3, 3)",1.0
179,"(4, 1)",0.0
179,"(4, 2)",0.0
179,"(4, 3)",0.0
180,"(1, 1)",0.0
180,"(1, 2)",0.0
180,"(1, 3)",0.0
180,"(2, 1)",0.0
180,"(2, 2)",1.0
180,"(2, 3)",0.0
180,"(3, 1)",0.0
180,"(3, 2)",0.0
180,"(3, 3)",0.0
180,"(4, 1)",0.0
180,"(4, 2)",0.0
180,"(4, 3)",0.0
181,"(1, 1)",0.0
181,"(1, 2)",0.0
181,"(1, 3)",0.0
181,"(2, 1)",0.0
181,"(2, 2)",1.0
181,"(2, 3)",0.0
181,"(3, 1)",0.0
181,"(3, 2)",0.0
181,"(3, 3)",0.0
181,"(4, 1)",0.0
181,"(4, 2)",0.0
181,"(4, 3)",0.0
182,"(1, 1)",0.0
182,"(1, 2)",0.0
182,"(1, 3)",0.0
182,"(2, 1)",0.0
182,"(2, 2)",0.0
182,"(2, 3)",0.0
182,"(3, 1)",0.0
182,"(3, 2)",0.0
182,"(3, 3)",1.0
182,"(4, 1)",0.0
182,"(4, 2)",0.0
182,"(4, 3)",0.0
183,"(1, 1)",0.0
183,"(1, 2)",0.0
183,"(1, 3)",0.0
183,"(2, 1)",0.0
183,"(2, 2)",0.0
183,"(2, 3)",0.0
183,"(3, 1)",0.0
183,"(3, 2)",0.0
183,"(3, 3)",0.0
183,"(4, 1)",0.0
183,"(4, 2)",0.0
183,"(4, 3)",1.0
184,"(1, 1)",0.0
184,"(1, 2)",0.0
184,"(1, 3)",0.0
184,"(2, 1)",0.0
184,"(2, 2)",0.0
184,"(2, 3)",0.0
184,"(3, 1)",0.0
184,"(3, 2)",0.0
184,"(3, 3)",0.0
184,"(4, 1)",0.0
184,"(4, 2)",1.0
184,"(4, 3)",0.0
185,"(1, 1)",0.0
185,"(1, 2)",0.0
185,"(1, 3)",0.0
185,"(2, 1)",0.0
185,"(2, 2)",0.0
185,"(2, 3)",0.0
185,"(3, 1)",0.0
185,"(3, 2)",0.0
185,"(3, 3)",0.0
185,"(4, 1)",0.0
185,"(4, 2)",1.0
185,"(4, 3)",0.0
186,"(1, 1)",0.0
186,"(1, 2)",0.0
186,"(1, 3)",0.0
186,"(2, 1)",0.0
186,"(2, 2)",0.0
186,"(2, 3)",1.0
186,"(3, 1)",0.0
186,"(3, 2)",0.0
186,"(3, 3)",0.0
186,"(4, 1)",0.0
186,"(4, 2)",0.0
186,"(4, 3)",0.0
187,"(1, 1)",0.0
187,"(1, 2)",0.0
187,"(1, 3)",0.0
187,"(2, 1)",0.0
187,"(2, 2)",0.0
187,"(2, 3)",0.0
187,"(3, 1)",0.0
187,"(3, 2)",0.0
187,"(3, 3)",0.0
187,"(4, 1)",0.0
187,"(4, 2)",0.0
187,"(4, 3)",1.0
188,"(1, 1)",0.0
188,"(1, 2)",0.0
188,"(1, 3)",0.0
188,"(2, 1)",0.0
188,"(2, 2)",0.0
188,"(2, 3)",1.0
188,"(3, 1)",0.0
188,"(3, 2)",0.0
188,"(3, 3)",0.0
188,"(4, 1)",0.0
188,"(4, 2)",0.0
188,"(4, 3)",0.0
189,"(1, 1)",0.0
189,"(1, 2)",1.0
189,"(1, 3)",0.0
189,"(2, 1)",0.0
189,"(2, 2)",0.0
189,"(2, 3)",0.0
189,"(3, 1)",0.0
189,"(3, 2)",0.0
189,"(3, 3)",0.0
189,"(4, 1)",0.0
189,"(4, 2)",0.0
189,"(4, 3)",0.0
190,"(1, 1)",0.0
190,"(1, 2)",0.0
190,"(1, 3)",0.0
190,"(2, 1)",0.0
190,"(2, 2)",0.0
190,"(2, 3)",0.0
190,"(3, 1)",0.0
190,"(3, 2)",0.0
190,"(3, 3)",0.0
190,"(4, 1)",0.0
190,"(4, 2)",0.0
190,"(4, 3)",1.0
191,"(1, 1)",0.0
191,"(1, 2)",0.0
191,"(1, 3)",0.0
191,"(2, 1)",0.0
191,"(2, 2)",0.0
191,"(2, 3)",1.0
191,"(3, 1)",0.0
191,"(3, 2)",0.0
191,"(3, 3)",0.0
191,"(4, 1)",0.0
191,"(4, 2)",0.0
191,"(4, 3)",0.0
192,"(1, 1)",0.0
192,"(1, 2)",0.0
192,"(1, 3)",0.0
192,"(2, 1)",0.0
192,"(2, 2)",0.0
192,"(2, 3)",0.0
192,"(3, 1)",0.0
192,"(3, 2)",0.0
192,"(3, 3)",1.0
192,"(4, 1)",0.0
192,"(4, 2)",0.0
192,"(4, 3)",0.0
193,"(1, 1)",0.0
193,"(1, 2)",0.0
193,"(1, 3)",0.0
193,"(2, 1)",0.0
193,"(2, 2)",0.0
193,"(2, 3)",0.0
193,"(3, 1)",0.0
193,"(3, 2)",0.0
193,"(3, 3)",0.0
193,"(4, 1)",0.0
193,"(4, 2)",1.0
193,"(4, 3)",0.0
194,"(1, 1)",0.0
194,"(1, 2)",0.0
194,"(1, 3)",0.0
194,"(2, 1)",0.0
194,"(2, 2)",0.0
194,"(2, 3)",0.0
194,"(3, 1)",0.0
194,"(3, 2)",0.0
194,"(3, 3)",0.0
194,"(4, 1)",0.0
194,"(4, 2)",1.0
194,"(4, 3)",0.0
195,"(1, 1)",0.0
195,"(1, 2)",1.0
195,"(1, 3)",0.0
195,"(2, 1)",0.0
195,"(2, 2)",0.0
195,"(2, 3)",0.0
195,"(3, 1)",0.0
195,"(3, 2)",0.0
195,"(3, 3)",0.0
195,"(4, 1)",0.0
195,"(4, 2)",0.0
195,"(4, 3)",0.0
196,"(1, 1)",0.0
196,"(1, 2)",0.0
196,"(1, 3)",0.0
196,"(2, 1)",0.0
196,"(2, 2)",0.0
196,"(2, 3)",0.0
196,"(3, 1)",0.0
196,"(3, 2)",0.0
196,"(3, 3)",0.0
196,"(4, 1)",0.0
196,"(4, 2)",1.0
196,"(4, 3)",0.0
197,"(1, 1)",0.0
197,"(1, 2)",0.0
197,"(1, 3)",0.0
197,"(2, 1)",0.0
197,"(2, 2)",0.0
197,"(2, 3)",0.0
197,"(3, 1)",0.0
197,"(3, 2)",0.0
197,"(3, 3)",0.0
197,"(4, 1)",0.0
197,"(4, 2)",1.0
197,"(4, 3)",0.0
198,"(1, 1)",0.0
198,"(1, 2)",0.0
198,"(1, 3)",0.0
198,"(2, 1)",0.0
198,"(2, 2)",0.0
198,"(2, 3)",0.0
198,"(3, 1)",0.0
198,"(3, 2)",0.0
198,"(3, 3)",1.0
198,"(4, 1)",0.0
198,"(4, 2)",0.0
198,"(4, 3)",0.0
199,"(1, 1)",0.0
199,"(1, 2)",0.0
199,"(1, 3)",0.0
199,"(2, 1)",0.0
199,"(2, 2)",0.0
199,"(2, 3)",0.0
199,"(3, 1)",0.0
199,"(3, 2)",0.0
199,"(3, 3)",1.0
199,"(4, 1)",0.0
199,"(4, 2)",0.0
199,"(4, 3)",0.0
200,"(1, 1)",0.0
200,"(1, 2)",0.0
200,"(1, 3)",0.0
200,"(2, 1)",0.0
200,"(2, 2)",0.0
200,"(2, 3)",0.0
200,"(3, 1)",0.0
200,"(3, 2)",0.0
200,"(3, 3)",0.0
200,"(4, 1)",0.0
200,"(4, 2)",0.0
200,"(4, 3)",1.0
201,"(1, 1)",0.0
201,"(1, 2)",0.0
201,"(1, 3)",0.0
201,"(2, 1)",0.0
201,"(2, 2)",0.0
201,"(2, 3)",0.0
201,"(3, 1)",0.0
201,"(3, 2)",0.0
201,"(3, 3)",0.0
201,"(4, 1)",0.0
201,"(4, 2)",1.0
201,"(4, 3)",0.0
202,"(1, 1)",0.0
202,"(1, 2)",0.0
202,"(1, 3)",0.0
202,"(2, 1)",0.0
202,"(2, 2)",1.0
202,"(2, 3)",0.0
202,"(3, 1)",0.0
202,"(3, 2)",0.0
202,"(3, 3)",0.0
202,"(4, 1)",0.0
202,"(4, 2)",0.0
202,"(4, 3)",0.0
203,"(1, 1)",0.0
203,"(1, 2)",0.0
203,"(1, 3)",0.0
203,"(2, 1)",0.0
203,"(2, 2)",0.0
203,"(2, 3)",1.0
203,"(3, 1)",0.0
203,"(3, 2)",0.0
203,"(3, 3)",0.0
203,"(4, 1)",0.0
203,"(4, 2)",0.0
203,"(4, 3)",0.0
204,"(1, 1)",0.0
204,"(1, 2)",0.0
204,"(1, 3)",0.0
204,"(2, 1)",0.0
204,"(2, 2)",0.0
204,"(2, 3)",1.0
204,"(3, 1)",0.0
204,"(3, 2)",0.0
204,"(3, 3)",0.0
204,"(4, 1)",0.0
204,"(4, 2)",0.0
204,"(4, 3)",0.0
205,"(1, 1)",0.0
205,"(1, 2)",0.0
205,"(1, 3)",0.0
205,"(2, 1)",0.0
205,"(2, 2)",1.0
205,"(2, 3)",0.0
205,"(3, 1)",0.0
205,"(3, 2)",0.0
205,"(3, 3)",0.0
205,"(4, 1)",0.0
205,"(4, 2)",0.0
205,"(4, 3)",0.0
206,"(1, 1)",0.0
206,"(1, 2)",0.0
206,"(1, 3)",0.0
206,"(2, 1)",0.0
206,"(2, 2)",1.0
206,"(2, 3)",0.0
206,"(3, 1)",0.0
206,"(3, 2)",0.0
206,"(3, 3)",0.0
206,"(4, 1)",0.0
206,"(4, 2)",0.0
206,"(4, 3)",0.0
207,"(1, 1)",0.0
207,"(1, 2)",0.0
207,"(1, 3)",0.0
207,"(2, 1)",0.0
207,"(2, 2)",1.0
207,"(2, 3)",0.0
207,"(3, 1)",0.0
207,"(3, 2)",0.0
207,"(3, 3)",0.0
207,"(4, 1)",0.0
207,"(4, 2)",0.0
207,"(4, 3)",0.0
208,"(1, 1)",0.0
208,"(1, 2)",0.0
208,"(1, 3)",0.0
208,"(2, 1)",0.0
208,"(2, 2)",0.0
208,"(2, 3)",0.0
208,"(3, 1)",0.0
208,"(3, 2)",0.0
208,"(3, 3)",0.0
208,"(4, 1)",0.0
208,"(4, 2)",0.0
208,"(4, 3)",1.0
209,"(1, 1)",0.0
209,"(1, 2)",0.0
209,"(1, 3)",0.0
209,"(2, 1)",0.0
209,"(2, 2)",0.0
209,"(2, 3)",0.0
209,"(3, 1)",0.0
209,"(3, 2)",0.0
209,"(3, 3)",0.0
209,"(4, 1)",0.0
209,"(4, 2)",0.0
209,"(4, 3)",1.0
210,"(1, 1)",0.0
210,"(1, 2)",0.0
210,"(1, 3)",0.0
210,"(2, 1)",0.0
210,"(2, 2)",0.0
210,"(2, 3)",0.0
210,"(3, 1)",0.0
210,"(3, 2)",0.0
210,"(3, 3)",0.0
210,"(4, 1)",0.0
210,"(4, 2)",0.0
210,"(4, 3)",1.0
211,"(1, 1)",0.0
211,"(1, 2)",0.0
211,"(1, 3)",0.0
211,"(2, 1)",0.0
211,"(2, 2)",1.0
211,"(2, 3)",0.0
211,"(3, 1)",0.0
211,"(3, 2)",0.0
211,"(3, 3)",0.0
211,"(4, 1)",0.0
211,"(4, 2)",0.0
211,"(4, 3)",0.0
212,"(1, 1)",0.0
212,"(1, 2)",0.0
212,"(1, 3)",0.0
212,"(2, 1)",0.0
212,"(2, 2)",0.0
212,"(2, 3)",0.0
212,"(3, 1)",0.0
212,"(3, 2)",0.0
212,"(3, 3)",0.0
212,"(4, 1)",0.0
212,"(4, 2)",1.0
212,"(4, 3)",0.0
213,"(1, 1)",0.0
213,"(1, 2)",0.0
213,"(1, 3)",0.0
213,"(2, 1)",0.0
213,"(2, 2)",0.0
213,"(2, 3)",0.0
213,"(3, 1)",0.0
213,"(3, 2)",0.0
213,"(3, 3)",0.0
213,"(4, 1)",0.0
213,"(4, 2)",1.0
213,"(4, 3)",0.0
214,"(1, 1)",0.0
214,"(1, 2)",0.0
214,"(1, 3)",0.0
214,"(2, 1)",0.0
214,"(2, 2)",1.0
214,"(2, 3)",0.0
214,"(3, 1)",0.0
214,"(3, 2)",0.0
214,"(3, 3)",0.0
214,"(4, 1)",0.0
214,"(4, 2)",0.0
214,"(4, 3)",0.0
215,"(1, 1)",0.0
215,"(1, 2)",0.0
215,"(1, 3)",0.0
215,"(2, 1)",0.0
215,"(2, 2)",0.0
215,"(2, 3)",0.0
215,"(3, 1)",0.0
215,"(3, 2)",0.0
215,"(3, 3)",1.0
215,"(4, 1)",0.0
215,"(4, 2)",0.0
215,"(4, 3)",0.0
216,"(1, 1)",0.0
216,"(1, 2)",0.0
216,"(1, 3)",0.0
216,"(2, 1)",0.0
216,"(2, 2)",0.0
216,"(2, 3)",0.0
216,"(3, 1)",0.0
216,"(3, 2)",0.0
216,"(3, 3)",0.0
216,"(4, 1)",0.0
216,"(4, 2)",1.0
216,"(4, 3)",0.0
217,"(1, 1)",0.0
217,"(1, 2)",0.0
217,"(1, 3)",0.0
217,"(2, 1)",0.0
217,"(2, 2)",0.0
217,"(2, 3)",1.0
217,"(3, 1)",0.0
217,"(3, 2)",0.0
217,"(3, 3)",0.0
217,"(4, 1)",0.0
217,"(4, 2)",0.0
217,"(4, 3)",0.0
218,"(1, 1)",0.0
218,"(1, 2)",0.0
218,"(1, 3)",0.0
218,"(2, 1)",0.0
