wind_farm,fac_id,deliv,prov
0,"(1, 1) AB",0.0,AB
0,"(1, 2) AB",0.0,AB
0,"(1, 3) AB",0.0,AB
0,"(2, 1) AB",0.0,AB
0,"(2, 2) AB",0.0,AB
0,"(2, 3) AB",0.0,AB
0,"(3, 1) AB",0.0,AB
0,"(3, 2) AB",0.0,AB
0,"(3, 3) AB",0.0,AB
0,"(4, 1) AB",0.0,AB
0,"(4, 2) AB",0.0,AB
0,"(4, 3) AB",1.0,AB
1,"(1, 1) AB",0.0,AB
1,"(1, 2) AB",0.0,AB
1,"(1, 3) AB",0.0,AB
1,"(2, 1) AB",0.0,AB
1,"(2, 2) AB",0.0,AB
1,"(2, 3) AB",1.0,AB
1,"(3, 1) AB",0.0,AB
1,"(3, 2) AB",0.0,AB
1,"(3, 3) AB",0.0,AB
1,"(4, 1) AB",0.0,AB
1,"(4, 2) AB",0.0,AB
1,"(4, 3) AB",0.0,AB
2,"(1, 1) AB",0.0,AB
2,"(1, 2) AB",0.0,AB
2,"(1, 3) AB",0.0,AB
2,"(2, 1) AB",0.0,AB
2,"(2, 2) AB",0.0,AB
2,"(2, 3) AB",0.0,AB
2,"(3, 1) AB",0.0,AB
2,"(3, 2) AB",0.0,AB
2,"(3, 3) AB",0.0,AB
2,"(4, 1) AB",0.0,AB
2,"(4, 2) AB",0.0,AB
2,"(4, 3) AB",1.0,AB
3,"(1, 1) AB",0.0,AB
3,"(1, 2) AB",0.0,AB
3,"(1, 3) AB",0.0,AB
3,"(2, 1) AB",0.0,AB
3,"(2, 2) AB",0.0,AB
3,"(2, 3) AB",1.0,AB
3,"(3, 1) AB",0.0,AB
3,"(3, 2) AB",0.0,AB
3,"(3, 3) AB",0.0,AB
3,"(4, 1) AB",0.0,AB
3,"(4, 2) AB",0.0,AB
3,"(4, 3) AB",0.0,AB
4,"(1, 1) AB",0.0,AB
4,"(1, 2) AB",0.0,AB
4,"(1, 3) AB",0.0,AB
4,"(2, 1) AB",0.0,AB
4,"(2, 2) AB",0.0,AB
4,"(2, 3) AB",0.0,AB
4,"(3, 1) AB",0.0,AB
4,"(3, 2) AB",0.0,AB
4,"(3, 3) AB",1.0,AB
4,"(4, 1) AB",0.0,AB
4,"(4, 2) AB",0.0,AB
4,"(4, 3) AB",0.0,AB
5,"(1, 1) AB",0.0,AB
5,"(1, 2) AB",0.0,AB
5,"(1, 3) AB",0.0,AB
5,"(2, 1) AB",0.0,AB
5,"(2, 2) AB",0.0,AB
5,"(2, 3) AB",0.0,AB
5,"(3, 1) AB",0.0,AB
5,"(3, 2) AB",0.0,AB
5,"(3, 3) AB",0.0,AB
5,"(4, 1) AB",0.0,AB
5,"(4, 2) AB",0.0,AB
5,"(4, 3) AB",1.0,AB
6,"(1, 1) AB",0.0,AB
6,"(1, 2) AB",0.0,AB
6,"(1, 3) AB",0.0,AB
6,"(2, 1) AB",0.0,AB
6,"(2, 2) AB",0.0,AB
6,"(2, 3) AB",0.0,AB
6,"(3, 1) AB",0.0,AB
6,"(3, 2) AB",0.0,AB
6,"(3, 3) AB",0.0,AB
6,"(4, 1) AB",0.0,AB
6,"(4, 2) AB",0.0,AB
6,"(4, 3) AB",1.0,AB
7,"(1, 1) AB",0.0,AB
7,"(1, 2) AB",0.0,AB
7,"(1, 3) AB",0.0,AB
7,"(2, 1) AB",0.0,AB
7,"(2, 2) AB",0.0,AB
7,"(2, 3) AB",0.0,AB
7,"(3, 1) AB",0.0,AB
7,"(3, 2) AB",0.0,AB
7,"(3, 3) AB",0.0,AB
7,"(4, 1) AB",0.0,AB
7,"(4, 2) AB",0.0,AB
7,"(4, 3) AB",1.0,AB
8,"(1, 1) AB",0.0,AB
8,"(1, 2) AB",0.0,AB
8,"(1, 3) AB",0.0,AB
